Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;RPE;Distance;Distance Unit;Seconds;Notes;Workout Notes;Workout Duration
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";2;30;kg;5;;;;0;;;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";3;30;kg;11;;;;0;;;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Lat Pulldown (Cable)";1;35;kg;8;;;;0;"";;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Lat Pulldown (Cable)";2;35;kg;8;;;;0;;;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Bicep Curl (Barbell)";1;12;kg;8;;;;0;"";;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Bicep Curl (Barbell)";2;12;kg;8;;;;0;;;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Face Pull (Cable)";1;12.5;kg;8;;;;0;"";;1h 10m
2019-10-21 18:26:30;"GSLP (SQ&BENCH)";"Face Pull (Cable)";2;12.5;kg;8;;;;0;;;1h 10m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Overhead Press (Barbell)";1;21;kg;5;;;;0;"Respira arriba. Tuck chin. Breath well. Calienta con barra F. ";"";37m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Overhead Press (Barbell)";2;21;kg;5;;;;0;;;37m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Overhead Press (Barbell)";3;21;kg;8;;;;0;;;37m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Deadlift (Barbell)";1;50;kg;5;;;;0;"12345. Calienta quizá. GRABATE.
Respirar: al agarrar barra y antes de squeeze. Bajar RDL. AMRAP: Para cuando notes espalda mal. CALIENTA COMO SQUAT. ";;37m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Lat Pulldown (Cable)";1;40;kg;5;;;;0;"";;37m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Lat Pulldown (Cable)";2;40;kg;5;;;;0;;;37m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Lat Pulldown (Cable)";3;40;kg;6;;;;0;;;37m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Face Pull (Cable)";1;12.5;kg;8;;;;0;"";;37m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Face Pull (Cable)";2;12.5;kg;8;;;;0;;;37m
2019-10-23 18:59:10;"GSLP (DL&OHP)";"Face Pull (Cable)";3;12.5;kg;12;;;;0;;;37m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";1;32.5;kg;5;;;;0;"";"";1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";2;32.5;kg;5;;;;0;;;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";3;32.5;kg;10;;;;0;;;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Squat (Barbell)";1;40;kg;5;;;;0;"";;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Squat (Barbell)";2;40;kg;5;;;;0;;;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Squat (Barbell)";3;40;kg;10;;;;0;;;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";1;32.5;kg;5;;;;0;"";;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";2;32.5;kg;5;;;;0;;;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";3;32.5;kg;10;;;;0;;;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Bicep Curl (Dumbbell)";1;10;kg;8;;;;0;"";;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Bicep Curl (Dumbbell)";2;10;kg;6;;;;0;;;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Lat Pulldown (Cable)";1;40;kg;8;;;;0;"";;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Lat Pulldown (Cable)";2;40;kg;8;;;;0;;;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Face Pull (Cable)";1;15;kg;8;;;;0;"";;1h 11m
2019-10-25 18:00:05;"GSLP (SQ&BENCH)";"Face Pull (Cable)";2;15;kg;8;;;;0;;;1h 11m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";1;22.5;kg;5;;;;0;"";"";56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";2;22.5;kg;5;;;;0;;;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";3;22.5;kg;10;;;;0;;;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Triceps Extension (Barbell)";1;15;kg;8;;;;0;"";;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Triceps Extension (Barbell)";2;15;kg;8;;;;0;;;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Squat (Barbell)";1;45;kg;5;;;;0;"";;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Squat (Barbell)";2;45;kg;5;;;;0;;;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Squat (Barbell)";3;45;kg;10;;;;0;;;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Bent Over Row (Barbell)";1;35;kg;5;;;;0;"";;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Bent Over Row (Barbell)";2;35;kg;5;;;;0;;;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Bent Over Row (Barbell)";3;35;kg;10;;;;0;;;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Lat Pulldown (Cable)";1;45;kg;8;;;;0;"";;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Lat Pulldown (Cable)";2;45;kg;8;;;;0;;;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Face Pull (Cable)";1;15;kg;12;;;;0;"";;56m
2019-10-28 19:06:31;"GSLP (SQ&OHP)";"Face Pull (Cable)";2;15;kg;12;;;;0;;;56m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Bench Press (Barbell)";1;35;kg;5;;;;0;"";"";41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Bench Press (Barbell)";2;35;kg;5;;;;0;;;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Bench Press (Barbell)";3;35;kg;10;;;;0;;;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Bicep Curl (Barbell)";1;14.5;kg;12;;;;0;"";;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Bicep Curl (Barbell)";2;14.5;kg;12;;;;0;;;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Romanian Deadlift (Barbell)";1;40;kg;5;;;;0;"";;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Romanian Deadlift (Barbell)";2;40;kg;5;;;;0;;;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Deadlift (Barbell)";1;55;kg;5;;;;0;"";;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Lat Pulldown (Cable)";1;45;kg;5;;;;0;"";;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Lat Pulldown (Cable)";2;45;kg;5;;;;0;;;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Lat Pulldown (Cable)";3;45;kg;5;;;;0;;;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Face Pull (Cable)";1;15;kg;8;;;;0;"";;41m
2019-10-30 19:49:26;"GSLP (DL&BENCH)";"Face Pull (Cable)";2;15;kg;8;;;;0;;;41m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";1;25;kg;5;;;;0;"";"";37m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";2;25;kg;5;;;;0;;;37m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";3;25;kg;8;;;;0;;;37m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Squat (Barbell)";1;35;kg;3;;;;0;"";;37m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Squat (Barbell)";2;45;kg;2;;;;0;;;37m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Squat (Barbell)";3;50;kg;5;;;;0;;;37m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Squat (Barbell)";4;50;kg;5;;;;0;;;37m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Squat (Barbell)";5;50;kg;5;;;;0;;;37m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Face Pull (Cable)";1;15;kg;12;;;;0;"";;37m
2019-11-01 18:57:30;"GSLP (SQ&OHP)";"Face Pull (Cable)";2;15;kg;12;;;;0;;;37m
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";1;20;kg;5;;;;0;"";"";1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";2;25;kg;3;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";3;32.5;kg;2;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";4;37.5;kg;5;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";5;37.5;kg;5;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";6;37.5;kg;5;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Bicep Curl (Barbell)";1;17;kg;12;;;;0;"";;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Bicep Curl (Barbell)";2;17;kg;12;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Squat (Barbell)";1;20;kg;5;;;;0;"";;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Squat (Barbell)";2;30;kg;3;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Squat (Barbell)";3;40;kg;2;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Squat (Barbell)";4;45;kg;5;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Squat (Barbell)";5;45;kg;5;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Squat (Barbell)";6;45;kg;5;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Face Pull (Cable)";1;15;kg;10;;;;0;"";;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Face Pull (Cable)";2;15;kg;10;;;;0;;;1h
2019-11-04 19:46:00;"GSLP (SQ&BENCH)";"Face Pull (Cable)";3;15;kg;10;;;;0;;;1h
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Overhead Press (Barbell)";1;27.5;kg;5;;;;0;"";"";47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Overhead Press (Barbell)";2;27.5;kg;5;;;;0;;;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Overhead Press (Barbell)";3;27.5;kg;5;;;;0;;;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Triceps Extension (Barbell)";1;10;kg;8;;;;0;"";;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Triceps Extension (Barbell)";2;10;kg;8;;;;0;;;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Triceps Extension (Barbell)";3;10;kg;8;;;;0;;;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Trap Bar Deadlift";1;58;kg;5;;;;0;"";;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Trap Bar Deadlift";2;58;kg;5;;;;0;;;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Trap Bar Deadlift";3;58;kg;13;;;;0;;;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Romanian Deadlift (Barbell)";1;40;kg;8;;;;0;"";;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Romanian Deadlift (Barbell)";2;40;kg;8;;;;0;;;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Face Pull (Cable)";1;15;kg;10;;;;0;"";;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Face Pull (Cable)";2;15;kg;10;;;;0;;;47m
2019-11-06 19:32:41;"GSLP (DL&OHP)";"Face Pull (Cable)";3;15;kg;10;;;;0;;;47m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";1;20;kg;5;;;;0;"";"";1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";2;25;kg;3;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";3;32.5;kg;2;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";4;38.5;kg;5;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";5;38.5;kg;5;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";6;38.5;kg;10;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bicep Curl (Barbell)";1;17;kg;12;;;;0;"";;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bicep Curl (Barbell)";2;17;kg;12;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Squat (Barbell)";1;22.5;kg;5;;;;0;"";;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Squat (Barbell)";2;30;kg;3;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Squat (Barbell)";3;40;kg;2;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Squat (Barbell)";4;47.5;kg;5;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Squat (Barbell)";5;47.5;kg;5;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Squat (Barbell)";6;47.5;kg;8;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";1;37.5;kg;8;;;;0;"";;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";2;37.5;kg;8;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Face Pull (Cable)";1;15;kg;10;;;;0;"";;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Face Pull (Cable)";2;15;kg;10;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Face Pull (Cable)";3;15;kg;10;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Shrug (Dumbbell)";1;12;kg;12;;;;0;"";;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Shrug (Dumbbell)";2;12;kg;12;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Shrug (Dumbbell)";3;12;kg;12;;;;0;;;1h 17m
2019-11-08 19:40:05;"GSLP (SQ&BENCH)";"Shrug (Dumbbell)";4;12;kg;12;;;;0;;;1h 17m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";1;28.5;kg;5;;;;0;"";"";1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";2;28.5;kg;5;;;;0;;;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";3;28.5;kg;5;;;;0;;;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Squat (Barbell)";1;22.5;kg;5;;;;0;"";;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Squat (Barbell)";2;32.5;kg;3;;;;0;;;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Squat (Barbell)";3;42.5;kg;2;;;;0;;;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Squat (Barbell)";4;50;kg;5;;;;0;;;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Squat (Barbell)";5;50;kg;5;;;;0;;;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Squat (Barbell)";6;50;kg;6;;;;0;;;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Bicep Curl (Barbell)";1;14.5;kg;8;;;;0;"";;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Bicep Curl (Barbell)";2;14.5;kg;15;;;;0;;;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Face Pull (Cable)";1;20;kg;10;;;;0;"";;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Face Pull (Cable)";2;20;kg;10;;;;0;;;1h 9m
2019-11-11 18:58:00;"GSLP (SQ&OHP)";"Face Pull (Cable)";3;20;kg;10;;;;0;;;1h 9m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Bench Press (Barbell)";1;27.5;kg;3;;;;0;"";"";1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Bench Press (Barbell)";2;35;kg;2;;;;0;;;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Bench Press (Barbell)";3;41;kg;5;;;;0;;;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Bench Press (Barbell)";4;41;kg;5;;;;0;;;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Bench Press (Barbell)";5;41;kg;5;;;;0;;;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Triceps Extension (Machine)";1;35;kg;12;;;;0;"";;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Triceps Extension (Machine)";2;35;kg;12;;;;0;;;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Romanian Deadlift (Trap Bar)";1;48;kg;8;;;;0;"";;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Romanian Deadlift (Trap Bar)";2;48;kg;8;;;;0;;;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Trap Bar Deadlift";1;68;kg;5;;;;0;"";;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Bent Over Row (Barbell)";1;40;kg;8;;;;0;"";;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Bent Over Row (Barbell)";2;40;kg;8;;;;0;;;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Face Pull (Cable)";1;15;kg;10;;;;0;"";;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Face Pull (Cable)";2;15;kg;10;;;;0;;;1h 31m
2019-11-13 18:53:17;"GSLP (DL&BENCH)";"Face Pull (Cable)";3;15;kg;10;;;;0;;;1h 31m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";1;30;kg;5;;;;0;"";"";56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";2;30;kg;5;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Overhead Press (Barbell)";3;30;kg;5;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Squat (Barbell)";1;22.5;kg;5;;;;0;"Paranoia. Cambiando cues en medio de sets. ";;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Squat (Barbell)";2;35;kg;3;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Squat (Barbell)";3;45;kg;2;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Squat (Barbell)";4;52.5;kg;5;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Squat (Barbell)";5;52.5;kg;5;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Squat (Barbell)";6;52.5;kg;7;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Bicep Curl (Barbell)";1;22;kg;5;;;;0;"";;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Bicep Curl (Barbell)";2;22;kg;6;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Bicep Curl (Barbell)";3;22;kg;6;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Bicep Curl (Barbell)";4;22;kg;5;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Lat Pulldown (Cable)";1;50;kg;5;;;;0;"";;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Lat Pulldown (Cable)";2;50;kg;5;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Lat Pulldown (Cable)";3;50;kg;5;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Face Pull (Cable)";1;20;kg;10;;;;0;"";;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Face Pull (Cable)";2;20;kg;10;;;;0;;;56m
2019-11-15 18:41:50;"GSLP (SQ&OHP)";"Face Pull (Cable)";3;12.5;kg;10;;;;0;;;56m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";1;27.5;kg;3;;;;0;"";"";1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";2;35;kg;2;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";3;42.5;kg;5;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";4;42.5;kg;5;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bench Press (Barbell)";5;42.5;kg;8;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Squat (Barbell)";1;25;kg;5;;;;0;"";;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Squat (Barbell)";2;35;kg;3;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Squat (Barbell)";3;47.5;kg;2;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Squat (Barbell)";4;55;kg;5;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Squat (Barbell)";5;55;kg;5;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Squat (Barbell)";6;55;kg;5;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";1;40;kg;8;;;;0;"";;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bent Over Row (Barbell)";2;40;kg;8;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bicep Curl (Barbell)";1;25;kg;8;;;;0;"";;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bicep Curl (Barbell)";2;25;kg;8;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Bicep Curl (Barbell)";3;25;kg;8;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Face Pull (Cable)";1;12.5;kg;10;;;;0;"";;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Face Pull (Cable)";2;12.5;kg;10;;;;0;;;1h 4m
2019-11-18 19:58:44;"GSLP (SQ&BENCH)";"Face Pull (Cable)";3;12.5;kg;10;;;;0;;;1h 4m
2019-11-20 19:17:55;"GSLP (DL&OHP)";"Overhead Press (Barbell)";1;31;kg;5;;;;0;"";"";44m
2019-11-20 19:17:55;"GSLP (DL&OHP)";"Overhead Press (Barbell)";2;31;kg;5;;;;0;;;44m
2019-11-20 19:17:55;"GSLP (DL&OHP)";"Overhead Press (Barbell)";3;31;kg;5;;;;0;;;44m
2019-11-20 19:17:55;"GSLP (DL&OHP)";"Trap Bar Deadlift";1;73;kg;10;;;;0;"";;44m
2019-11-20 19:17:55;"GSLP (DL&OHP)";"Lat Pulldown (Cable)";1;40;kg;8;;;;0;"";;44m
2019-11-20 19:17:55;"GSLP (DL&OHP)";"Lat Pulldown (Cable)";2;40;kg;8;;;;0;;;44m
2019-11-20 19:17:55;"GSLP (DL&OHP)";"Triceps Extension (Machine)";1;45;kg;8;;;;0;"";;44m
